time,left,front,u,Xi,desired
11999.723,364.159795,68.911070,1.500000,3.240016,368.923209
11999.755,377.585703,67.791886,-1.500000,-9.840360,369.306707
11999.784,361.779352,63.471335,1.500000,6.286740,369.662699
11999.817,388.005872,67.856468,-1.500000,-19.594968,370.045399
11999.851,370.383678,62.406810,-1.500000,-1.610704,370.447252
11999.885,375.317963,64.438284,-1.500000,-6.187094,370.844472
11999.915,359.568832,70.380015,1.500000,9.876935,371.193970
11999.951,358.667763,71.324375,1.500000,11.153198,371.610390
11999.982,376.306381,70.697676,-1.500000,-6.169633,371.960874
12000.013,372.431423,66.382385,-1.500000,-1.974638,372.316076
12000.045,349.767964,67.947430,1.500000,21.012604,372.675437
12000.079,360.690124,70.227470,1.500000,10.433471,373.056155
12000.113,369.411080,68.753580,1.500000,2.048466,373.429019
12000.148,373.939888,74.022873,-1.078774,-2.132863,373.814678
12000.176,365.237208,70.333740,1.500000,6.847163,374.122499
12000.212,399.174554,70.066192,-1.500000,-26.745868,374.504646
12000.239,372.654438,65.744129,-1.500000,0.032342,374.791099
12000.272,360.608690,64.027825,1.500000,12.392976,375.140584
12000.301,367.276479,69.586043,1.500000,6.004230,375.450287
12000.332,381.619864,61.188069,-1.500000,-8.043218,375.778742
12000.363,370.118439,65.968329,1.500000,3.741049,376.092661
12000.395,357.621195,67.854649,1.500000,16.538683,376.426058
12000.430,383.575314,68.240461,-1.500000,-9.096631,376.779892
12000.467,393.219126,71.559500,-1.500000,-18.405012,377.152179
12000.501,392.367169,66.273982,-1.500000,-17.252623,377.485623
12000.535,407.284274,66.409283,-1.500000,-31.869594,377.818735
12000.569,367.740470,73.047247,1.500000,7.976239,378.153951
12000.595,371.769524,63.116235,1.500000,4.172022,378.403492
12000.623,365.895535,68.328146,1.500000,10.284572,378.668265
12000.659,385.857090,63.579342,-1.500000,-9.371220,379.007625
12000.687,362.426405,70.744048,1.500000,14.297791,379.272138
12000.720,372.607537,66.006631,1.500000,4.389202,379.574628
12000.753,403.159643,69.937317,-1.500000,-25.892870,379.874332
12000.788,374.388540,69.562427,1.500000,3.163800,380.191276
12000.825,399.603828,61.126948,-1.500000,-21.749725,380.526196
12000.860,406.691663,66.604321,-1.500000,-28.558911,380.835463
12000.891,372.217607,62.844214,1.500000,6.158146,381.105165
12000.924,396.362174,68.165442,-1.500000,-17.730866,381.388800
12000.951,391.134229,64.010535,-1.500000,-12.299811,381.614226
12000.979,392.780345,63.151801,-1.500000,-13.730109,381.853758
12001.010,370.337201,64.228503,1.500000,8.944239,382.110366
12001.045,377.378508,69.702461,1.500000,2.158921,382.394483
12001.079,380.026041,65.272118,1.207934,-0.240414,382.669951
12001.117,377.882509,68.962975,1.500000,2.178300,382.975372
12001.147,411.896735,74.574347,-1.500000,-31.628917,383.205125
12001.189,389.626224,70.229341,-1.500000,-9.062890,383.533112
12001.218,397.355946,62.428021,-1.500000,-16.595104,383.752322
12001.252,372.950976,66.194735,1.500000,8.039068,384.006708
12001.279,386.388944,65.527461,-1.500000,-5.218707,384.206701
12001.305,381.169344,73.317320,-1.448317,0.171012,384.395512
12001.333,374.472975,65.229210,1.500000,7.053003,384.601530
12001.364,374.183780,71.513870,1.500000,7.535563,384.816141
